User_ID,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp
14733363,male,68,190,94,29,105,40.8
14861698,female,20,166,60,14,94,40.3
11179863,male,69,179,79,5,88,38.7
16180408,female,34,179,71,13,100,40.5
17771927,female,27,154,58,10,81,39.8
15130815,female,36,151,50,23,96,40.7
19602372,female,33,158,56,22,95,40.5
11117088,male,41,175,85,25,100,40.7
12132339,male,60,186,94,21,97,40.4
17964668,female,26,146,51,16,90,40.2
13723164,female,36,177,76,1,74,37.8
13681290,female,21,157,56,17,100,40
15566424,male,66,171,79,11,90,40
12891699,female,32,157,54,18,93,40.4
13823829,male,53,182,85,2,82,38.1
17557348,female,39,156,62,28,104,40.8
12198133,male,39,182,82,4,82,38.6
15236104,male,46,169,67,11,89,40.2
11042324,female,27,171,65,4,85,38.6
16864285,male,50,188,86,14,94,40.2
11674347,male,67,189,93,8,77,39.2
19797300,female,31,148,50,8,84,39.5
14711095,female,33,157,60,3,80,38.7
14434854,female,20,165,59,29,100,41
14893804,male,48,182,85,1,80,37.7
17231597,male,29,176,75,10,83,39.7
10901446,male,33,173,73,7,78,39.3
15874362,male,42,190,88,3,83,38.9
15569252,female,62,159,59,29,106,41.2
15615743,male,38,171,75,2,81,38.2
13363046,male,20,183,88,16,97,40.5
17572853,female,25,160,59,24,102,40.3
17157339,female,24,165,59,18,91,40.2
18328111,female,42,165,68,22,93,40.8
19303479,male,22,182,84,29,114,41
10699201,female,74,158,59,10,93,39.6
15283313,female,70,154,59,10,88,40
16324247,female,26,182,80,21,96,40.5
14277710,male,44,184,86,25,114,40.8
10888188,male,61,183,86,1,81,38.3
13379795,female,68,157,57,13,92,40.1
17181524,female,61,176,70,20,104,40.5
15988442,male,63,179,80,25,108,40.8
19538533,female,54,171,66,20,98,40.1
14591877,female,54,169,66,3,80,38.9
14274480,female,47,155,55,16,93,40.5
16818429,male,33,184,86,8,86,39.9
17476522,female,24,171,66,24,105,40.6
16369885,male,24,195,98,20,96,40.6
17816292,male,48,152,59,2,79,38
15995398,male,35,193,93,10,83,39.7
17615432,male,21,168,71,3,78,38.5
10146087,female,21,179,73,9,90,39.6
17967445,female,22,158,62,25,105,40.6
19670291,female,69,174,69,2,80,38.1
10580576,male,53,191,101,21,106,40.7
15854213,female,68,155,58,15,100,40.3
11138472,female,69,164,65,23,113,40.4
18276801,male,28,198,101,19,95,40.6
13823902,male,70,188,89,7,82,39.3
19222133,female,36,170,64,9,84,39.6
13231909,female,77,177,80,16,98,40.6
12726617,female,32,167,63,9,99,39.7
12538968,female,62,185,77,13,84,40.4
10941668,female,64,151,56,20,97,40.4
12628985,male,45,175,79,27,104,40.6
17691320,male,45,158,61,20,97,40.7
17822027,female,22,177,71,10,93,39.8
13777657,male,45,169,69,22,113,40.6
19423359,female,66,174,69,28,111,40.9
14701930,male,31,182,83,20,101,40.9
11513205,female,57,163,68,29,109,40.7
11842710,male,53,192,93,5,90,39.1
12576313,female,22,179,67,8,77,39.5
12367125,male,67,192,92,24,108,40.7
16913504,female,27,168,64,2,76,38.2
19439155,male,57,178,83,2,79,38.1
16137644,female,49,168,68,20,99,40.6
11622081,female,39,168,63,29,108,40.7
17374074,male,47,165,72,20,96,40.3
19096890,male,62,197,101,17,103,40.3
19628507,male,41,187,89,23,99,40.7
16918679,female,34,144,50,7,83,39.3
11194130,female,40,163,62,27,111,41.2
18863486,female,55,155,57,11,92,39.8
11754581,male,44,189,88,13,94,40
15161631,female,45,160,60,16,99,40.4
18735761,female,49,164,64,19,105,40.4
15878611,female,46,166,68,12,101,40.1
19249559,male,25,202,100,9,94,39.8
15469030,male,68,171,80,22,95,40.5
11157560,female,25,169,64,14,101,40.2
19576971,female,31,174,67,9,93,39.5
15048071,male,57,184,91,7,95,39.2
18707469,female,27,159,59,14,88,39.9
12598637,male,40,201,98,24,110,40.7
14342169,female,57,171,74,2,73,38.6
19208771,female,23,155,62,5,74,39.2
